"ID","WEEK OF","EVENT","LOCATION","MIN SHIP NOTICE NAME","CATEGORY","INSP TYPE","START DATE","END DATE","%23 OF IIs PLANNED","%23 OF DAYS","UPDATED","STATUS","SI","RECORDER","NNSY SUPPORT","TI LEAD ACTIVITY","SHIP DATA LIST","CASE FILES"
"14","7/29/2024","Beloit LCS 29 (I&U) (M-W)","MARINETTE, WI","Beloit LCS 29 (I&U) (M-W)","[""TRIAL""]","I&U","7/28/2024","7/30/2024",,"3","ADDED 7/12/24.",,"Evans, Paul C CIV USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]","LCS 29","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS29_BELOIT?csf=1&web=1&e=pvUUXX"
"15","7/29/2024","APL 45, APL 58, YRBM 28, MI (Tu-Th)","NORFOLK, VA","APL 45, APL 58, YRBM 28, MI (Tu-Th)","[""B&C""]","B&C MI","7/29/2024","7/31/2024",,"3","<p>​-UPDATE 4/3/24&#58; REMOVED YRBM 23 AND YRBM 24.<br></p><p>-UPDATE 3/26/24&#58; REMOVED YRBM 41.<br></p>",,"Cleary, Brandon J LCDR USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"16","7/29/2024","ACU 5 - LCAC 27/52, MI (Tu-Th)","CAMP PENDLETON, CA","ACU 5 - LCAC 27/52, MI (Tu-Th)","[""B&C""]","B&C MI","7/29/2024","7/31/2024",,"3","<p>​ADDED 4/9/2024.<br></p>",,"Olson, Timothy M CDR USN PRESINSURV VA BCH VA (USA)",,,,,
"17","7/29/2024","SSN, MI (Tu-F)","GROTON, CT","DEL - SOUTH DAKOTA SSN 790, MI (Tu-F)","[""SUB""]","MI","7/29/2024","8/1/2024",,"4","-UPDATE 7/17/24: DELETED FROM INSURV SCHEDULE.

-UPDATE 6/26/2024: Placed in TBD status.

<p>​Added 10/24/2023.<br></p>","[""DEL""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""RSG GROTON""]","SSN 790","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20790%20(MI)?csf=1&web=1&e=c4ccQc"
"18","8/12/2024","MSRON 1 X 9, MI (Tu-Th)","SAN DIEGO, CA","MSRON 1 X 9, MI (Tu-Th)","[""B&C""]","B&C MI","8/12/2024","8/14/2024",,"3","<p>​-UPDATE 1/31/24&#58; RESCHEDULED TO WEEK OF 12 AUG 24.<br></p><p>Added 8/31/23.<br></p>","[""RESCH""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"19","8/12/2024","DDG FLT IIA, MI (Tu-F)","SAN DIEGO, CA","GRIDLEY DDG 101, MI (Tu-F)","[""SURF""]","MI (MSSI)","8/12/2024","8/15/2024",,"4","-UPDATE 7/3/24: RESCHEDULED FROM M-Tu TO Tu-F.

<p>-UPDATE 12/14/23&#58; LOCATION CHANGED TO SAN DIEGO, CA.<br></p><p>​-UPDATE 7/19/23&#58; Rescheduled to week of 12 AUG 24.<br></p><p>Added 3/31/23.<br></p>","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","DDG 101","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG101_GRIDLEY?csf=1&web=1&e=YJNj5e"
"20","8/12/2024","YC 1623, YRBM 31, YRBM 50, MI (Tu-Th)","BANGOR, WA","YC 1623, YRBM 31, YRBM 50, MI (Tu-Th)","[""B&C""]","B&C MI","8/12/2024","8/14/2024",,"3","-UPDATE 7/3/24: ADDED YC 1623.

<p>​UPDATE 1/31/24&#58; REMOVED APL 62 AND YRBM 30.<br></p><p>UPDATE 1/11/24&#58; REMOVED&#160;YC 1675.<br></p>",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"21","8/12/2024","T-AK, SMART (16-21AUG)","SAIPAN","1ST LT JACK LUMMUS, T-AK 3011, SMART (16-21AUG)","[""MSC""]","SMART","8/15/2024","8/20/2024",,"6","-UPDATE 8/1/24: Rescheduled to 16-21 AUG 24, location confirmed for Saipan.

<p>-UPDATE 6/4/24&#58; LOCATION CHANGED TO GUAM/SAIPAN, RESCHEDULED TO 11-16 AUG 24.</p><p>​-UPDATE 5/7/24&#58; LOCATION CHANGED TO TBD C7F.<br></p><p>Added 8/3/23<br></p>","[""RESCH""]","Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AK 3011",
"22","8/19/2024","BELOIT LCS 29, AT (Su/M-F)","MARINETTE, WI","BELOIT LCS 29, AT (Su/M-F)","[""TRIAL""]","AT","8/17/2024","8/22/2024",,"6","UPDATE 7/3/24: Rescheduled to week of 19 AUG 24.","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 29","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS29_BELOIT?csf=1&web=1&e=I5yEZ1"
"23","8/19/2024","SSN, MI (Tu-F)","SAN DIEGO, CA","SANTA FE SSN 763, MI (Tu-F)","[""SUB""]","MI","8/19/2024","8/22/2024",,"4","-UPDATE 6/11/24: RESCHEDULED TO WEEK OF 19 AUG 24.

<p>​-UPDATE 4/24/24&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGOING RESCHEDULING EFFORTS.<br></p><p>Added 10/24/23&#58;<br></p>","[""TBD""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""SWRMC""]","SSN 763","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/SSN%20763?csf=1&web=1&e=F955CJ"
"24","8/19/2024","DDG FLT I, MI (Tu-F)","NORFOLK, VA ","GONZALEZ, DDG 66, MI (Tu-F)","[""SURF""]","MI (MSSI)","8/19/2024","8/22/2024",,"4","<div>-UPDATE 1/23/24&#58; UPDATED DAYS OF THE INSPECTION.<br></div><div><br></div>-UPDATE 11/25/22&#58; Added days of the week.<div>7/20/22 resched. 3/16/22 Add</div>","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""MARMC""]","DDG 66","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG66_GONZALEZ?csf=1&web=1&e=m8uWaG"
"25","8/19/2024","DDG, MI (Tu-F)","NORFOLK, VA","MAHAN DDG 72, MI (Tu-F)","[""SURF""]","MI (MSSI)","8/19/2024","8/22/2024",,"4","<p>​ADDED 1/23/24.<br></p>",,"Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""MARMC""]","DDG 72","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG72_MAHAN?csf=1&web=1&e=qmxhUi"
"26","8/26/2024","IX 310, YC 1069, YC 1644, MI (Tu-Th)","DRESDEN, NY","IX 310, YC 1069, YC 1644, MI (Tu-Th)","[""B&C""]","B&C MI","8/26/2024","8/28/2024",,"3",,,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"27","8/26/2024","DDG FLT IIA, MI (Tu-F)","SAN DIEGO, CA","PREBLE DDG 88, MI (Tu-F)","[""SURF""]","MI (MSSI)","8/26/2024","8/29/2024",,"4","-UPDATE 7/3/24: DAYS CHANGED FROM M-Th TO Tu-F.

<p>-UPDATE 4/30/24&#58; RESCHEDULED TO WEEK OF 26 AUG 24.<br></p><p>-UPDATE 3/31/23&#58; Rescheduled to week of 10 JUN 24.<br></p><p>5/19/22 Added<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","DDG 88","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG88_PREBLE?csf=1&web=1&e=3BshMd"
"28","9/2/2024","ACU 4 - LCAC 41, LCAC 55, MI (Tu-Th)","NORFOLK, VA","ACU 4 - LCAC 41, LCAC 55, MI (Tu-Th)","[""B&C""]","B&C MI","9/2/2024","9/4/2024",,"3","ADDED 6/11/24.",,"Olson, Timothy M CDR USN PRESINSURV VA BCH VA (USA)",,,,,
"29","9/2/2024","DDG FLT II, MI (W-F)","NORFOLK, VA","PORTER DDG 78, MI (W-F)","[""SURF""]","MI","9/3/2024","9/5/2024",,"3","<p>​Added 2/17/23.<br></p>","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""MARMC""]","DDG 78","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG78_PORTER?csf=1&web=1&e=8AJzdB"
"30","9/2/2024","Jack H. Lucas DDG 125 (SSGTG) (W-F)","San Diego, CA","Jack H. Lucas DDG 125 (SSGTG) (W-F)","[""TRIAL""]","SSGTG","9/3/2024","9/5/2024",,"3","Added 8/28/24",,"Evans, Paul C CIV USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]","DDG 125","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG125_JACK_H_LUCAS?csf=1&web=1&e=yL941a"
"31","9/2/2024","T-AGSE, SMART (5-8SEP)","KINGS BAY, GA","BLACK POWDER, T-AGSE 1, SMART (5-8SEP)","[""MSC""]","SMART","9/4/2024","9/7/2024",,"4","<p>-UPDATE 3/26/24&#58;&#160;RESCHEDULED TO WEEK OF 02 SEP 24.<br></p><p>​Added 8/3/23.<br></p>","[""RESCH""]","Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AGSE 1",
"32","9/8/2025","T-AKR, SMART (08-12SEP)","Saipan","Charlton T-AKR 314 (08-12SEP)","[""MSC""]","SMART","9/7/2024","9/11/2024",,"5","Added 8/1/24.",,,,,,"T-AKR 314",
"33","9/9/2024","DEL - T-EPF, SMART (9-12SEP)","PEARL HARBOR, HI","FALL RIVER, T-EPF 4, SMART (9-12SEP)","[""MSC""]","SMART","9/8/2024","9/11/2024",,"4","-UPDATE 9/4/24: DELETED.

<p>-UPDATE 3/26/24&#58; PLACED IN TBD STATUS DUE TO DELETION FROM INSURV SCHEDULE, MAY NOT BE RESCHEDULED.<br></p><p>-UPDATE 8/8/23&#58; Location changed to Pearl Harbor, HI​</p><p>Added 8/3/23<br></p>","[""DEL""]",,,,,"T-EPF 4",
"34","9/9/2024","T-AGSE, SMART (10-13SEP)","KINGS BAY, GA","WESTWIND, T-AGSE 2, SMART (10-13SEP)","[""MSC""]","SMART","9/9/2024","9/12/2024",,"4","<p>​-UPDATE 3/26/24&#58; RESCHEDULED TO WEEK OF 09 SEP 24.<br></p><p>Added 8/3/23.<br></p>","[""RESCH""]","Wines, Caleb P CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AGSE 2",
"35","9/9/2024","YRBM 57, AT (Tu-Th)","MORGAN CITY, LA","YRBM 57, AT (Tu-Th)","[""TRIAL""]","AT","9/9/2024","9/11/2024",,"3","-UPDATE 7/3/24: RESCHEDULED TO WEEK OF 09 SEP 24.

<p>-UPDATE 3/26/24&#58; RESCHEDULED TO WEEK OF 22 JUL 24.<br></p><p>​-UPDATE 2/29/24&#58; RESCHEDULED TO WEEK OF 29 APR 24.<br></p><p>-UPDATE 11/21/23&#58; Rescheduled to week of 08 APR 24.<br></p>","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]",,
"36","9/9/2024","LCC, MI (Th-Sa)","YOKOSUKA, JP","BLUE RIDGE LCC 19, MI (Th-Sa)","[""SURF""]","MI","9/11/2024","9/13/2024",,"3","<p>​UPDATE 9/26/23&#58; Added days of the inspection.&#160;<br></p>",,"Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""SRF""]","LCC 19","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCC%20CASE/LCC19_BLUERIDGE?csf=1&web=1&e=jZ5Egj"
"37","9/16/2024","MCM, MI (M/Tu-Th)","SASEBO, JP","PIONEER, MCM 9, MI (M/Tu-Th)","[""SURF""]","MI","9/15/2024","9/18/2024",,"4","<p>​-UPDATE 9/26/23&#58; Added days of the inspection.<br></p><p>Added 7/26/23.<br></p>",,"Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""SRF""]","MCM 9","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/MCM%20CASE/MCM09_PIONEER?csf=1&web=1&e=Ywrswk"
"38","9/16/2024","YFN 1203, YFN 1204, YFN 1288, YR 87, YRBM 13. YRBM 14, YT 809, MI (Tu-Th)","PORTSMOUTH, NH","YFN 1203, YFN 1204, YFN 1288, YR 87, YT 809, MI (Tu-Th)","[""B&C""]","B&C MI","9/15/2024","9/19/2024",,"5","-UPDATE 7/25/24: LOCATION CHANGED TO PORTSMOUTH, NH.

<p>-UPDATE 4/3/24&#58; ADDED YRBM 13 AND YRBM 14.<br></p><p>-UPDATE 3/26/24&#58; ADDED YR 87.<br></p><p>-UPDATE 2/14/24&#58; REMOVED YFNX 15.<br></p><p>​-UPDATE 2/14/24&#58; REMOVED YT 810, 811, 812.<br></p>",,"Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,"Y",,,
"39","9/16/2024","John L. Canley ESB 6 (Sea Giraffe) (Tu)","SAN DIEGO, CA","John L. Canley ESB 6 (Sea Giraffe) (Tu)","[""TRIAL""]","RT","9/16/2024","9/16/2024",,"1","-UPDATE 8/28/2024: Rescheduled to week of 16 SEP 24.

ADDED 7/25/24.",,"Peterson, Anna Logic LCDR USN NAVWAR SFA VA (USA)",,,"[""NSWCPD""]","ESB 6","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/ESB%20CASE/ESB6_CANLEY?csf=1&web=1&e=aIXMOZ"
"40","9/23/2024","DEL - HARVEY MILK T-AO 206, FCT (Su/M-F)","NORFOLK, VA","DEL - HARVEY MILK T-AO 206, FCT (Su/M-F)","[""TRIAL""]","FCT","9/21/2024","9/26/2024",,"6","-UPDATE 8/28/24: Deleted from INSURV Schedule.

<p>-UPDATE 9/26/23&#58; Rescheduled to week of 23 SEP 24, removed from TBD status.<br></p><p>-UPDATE 9/22/23&#58; Removed from schedule, placed in TBD status due to undergoing rescheduling efforts.<br></p><p>-UPDATE 8/21/23&#58; Rescheduled to week of 29 APR 24.<br></p><p>-UPDATE 7/26/23&#58; Rescheduled to week of 4/22/24.<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)",,"Y","[""NSWCPD""]","T-AO 206","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SMART%20CASE/T-AO/T-AO206_HARVEY_MILK?csf=1&web=1&e=sPDFjY"
"41","9/23/2024","ARDM 5, MI (Tu-Th)","POINT LOMA, CA","ARDM 5, MI (Tu-Th)","[""B&C""]","MI","9/23/2024","9/25/2024",,"3","-UPDATE 9/17/24: rescheduled to week of 23 SEP 24. 

<p>​Added 5/7/2024.<br></p>","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,,,
"42","9/23/2024","LCS, MI (Tu-Th)","SAN DIEGO, CA","TULSA LCS 16, MI (Tu-Th)","[""SURF""]","MI","9/23/2024","9/25/2024",,"3","-UPDATE 8/1/24: Changed days to Tu-Th, converted INSP TYPE to MI.

<div>-UPDATE 4/2/24&#58; RESCHEDULED TO WEEK OF 23 SEP 24.<br></div><div><br></div><div>-UPDATE 3/31/24&#58; Rescheduled to week of 12 AUG 24.<br></div><div><br></div>9/1/22 Resched. 3/4/22 resched. 2/2/22 Added","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Jones, Kevin A CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LCS 16","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS16_TULSA?csf=1&web=1&e=daPKh7"
"43","9/23/2024","YRBM 21, YRBM 41, MI (Tu-Th)","MAYPORT, FL","YRBM 21, YRBM 41, MI (Tu-Th)","[""B&C""]","B&C MI","9/23/2024","9/25/2024",,"3","-UPDATE 8/28/2024: removed YRBM 33 and 36, added YRBM 21.

-UPDATE 6/26/2024: REMOVED YC 1584 AND YC 1667.

<p>​-UPDATE 4/9/2024&#58; REMOVED YRBM 24 AND YRBM 42,&#160;ADDED YRBM 36.<br></p><p>-UPDATE 4/3/24&#58; ADDED YRBM 24.<br></p><p>-UPDATE 3/26/24&#58; ADDED YRBM 41.<br></p>",,"Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA);Cleary, Brandon J LCDR USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"44","9/23/2024","T-AKE, SMART (25-29SEP)","BUSAN, SK","SACAGAWEA, T-AKE 2, SMART (25-29SEP)","[""MSC""]","SMART","9/24/2024","9/28/2024",,"5","-UPDATE 9/4/2024: Rescheduled to week of 23 SEP 24.

-UPDATE 7/8/24: LOCATION CHANGED TO BUSAN, SK.

<p>​Added 8/3/23<br></p>","[""RESCH""]","Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA);Olson, Timothy M CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AKE 2",
"45","9/30/2024","T-AGOS, SMART","TBD WEST COAST","IMPECCABLE T-AGOS 23, SMART","[""MSC""]","SMART","9/29/2024","10/3/2024",,"5","<p>​ADDED 04/2/24.<br></p>",,,,,,"T-AGOS 23",
"46","9/30/2024","DEL - T-AO, SMART (30SEP-4OCT)","TBD C7F","DEL - RAPPAHANOCK, T-AO 204, SMART (30SEP-4OCT)","[""MSC""]","SMART","9/29/2024","10/3/2024",,"5","-UPDATE 9/4/24: DELETED.

<p>​​-UPDATE 12/5/23&#58; Deleted from INSURV Schedule, placed in TBD status due to undergiong rescheduling efforts.<br></p><p>Added 8/3/23<br></p>","[""DEL""]",,,,,"T-AO 204",
"47","9/30/2024","YOS 34, YOS 38 (MI) (Tu-Th)","NORFOLK, VA","YOS 34, YOS 38 (MI) (Tu-Th)","[""B&C""]","B&C MI","9/30/2024","10/3/2024",,"4","ADDED 7/12/2024.",,,,,,,
"48","10/7/2024","ROBERT F. KENNEDY T-AO 208, HVI/UNREP","SAN DIEGO, CA","ROBERT F. KENNEDY T-AO 208, HVI/UNREP","[""TRIAL""]","HVI/UNREP","10/6/2024","10/10/2024",,"5","-UPDATE 8/14/24: Rescheduled to week of 14 AUG 24.

-UPDATE 7/25/24: RESCHEDULED TO WEEK OF 30 SEP 24.

<p>​ADDED 1/31/24.<br></p>","[""RESCH""]","Evans, Paul C CIV USN PRESINSURV VA BCH VA (USA);Rose, Troy E CIV USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","T-AO 208","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SMART%20CASE/T-AO/T-AO208_ROBERT_F_KENNEDY?csf=1&web=1&e=aJ2H5e"
"49","10/14/2024","ACU 2 - LCU 1663, MI (W-Th)","LITTLE CREEK, VA","ACU 2 - LCU 1663, MI (W-Th)","[""B&C""]","B&C MI","10/15/2024","10/16/2024",,"2","<p>​-UPDATE 8/25/23&#58; Added LCU undergoing inspection, rescheduled to 14 OCT 24.<br></p><p>Added 6/9/23.<br></p>","[""RESCH""]","Boyd, Thomas A III LT USN PRESINSURV VA BCH VA (USA)",,,,,
"50","10/21/2024","LCAC 111, AT (M-Th)","NEW ORLEANS, LA","LCAC 111, AT (M-Th)","[""TRIAL""]","AT","10/20/2024","10/24/2024",,"5","-UPDATE 8/14/24: Rescheduled to week of 21 OCT 24.

-UPDATE 7/3/24: RESCHEDULED TO WEEK OF 09 SEP 24.

-UPDATE 6/26/2024: DELETED FROM SCHEDULE, UNDERGOING RESCHEDULING EFFORTS.

<p>-UPDATE 5/29/24&#58; RESCHEDULED TO WEEK OF 12 AUG 24.</p><p>ADDED 1/31/24.<br></p>","[""RESCH""]","Olson, Timothy M CDR USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]",,
"51","10/21/2024","YC 1526, YC 1578,YC 1589, YC 1590, YC 1592, YC 1634, YC 1646, YON 314, YON 322, YON 325, YON 326, YRDM 9, YT 803, MI (M-F)","BREMERTON, WA","YC 1526, YC 1578,YC 1589, YC 1590, YC 1592, YC 1634, YC 1646, YON 314, YON 322, YON 325, YON 326, YRDM 9, YT 803, MI (M-F)","[""B&C""]","B&C MI","10/20/2024","10/24/2024",,"5","-UPDATE 8/20/24: Rescheduled to week of 21 OCT 24, executing M-F.

-UPDATE 8/1/24: Removed YC 1674.

-UPDATE 7/25/24: CHANGED DAYS TO SU-F, INSPECTION STARTS SU WEEK OF 14 OCT 24 (20 OCT 24).

-UPDATE 7/3/24: ADDED YON 314.

<p>​-UPDATE 4/9/2024&#58; ADDED YRDM 9.<br></p>",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA);Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,"Y",,,
"52","10/21/2024","SSN, MI (M-Th)","PEARL HARBOR, HI","Missouri SSN 780 (MI) (M-Th)","[""SUB""]","MI","10/20/2024","10/23/2024",,"4","-UPDATE 9/11/24: Days of the inspection changed to M-Th.

-UPDATE 9/4/24: Rescheduled to week of 21 OCT 24.

<p>-UPDATE 2/7/24&#58; RESCHEDULED TO WEEK OF 02 DEC 24.<br></p><p>​Added 11/2/2023.<br></p>","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""HRMC""]","SSN 780","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20780%20(MI)?csf=1&web=1&e=9kMerE"
"53","10/28/2024","CVN, MI (M-F)","SAN DIEGO, CA","RONALD REAGAN CVN 76, MI (M-F)","[""SURF""]","MI","10/27/2024","10/31/2024",,"5","-UPDATE 9/4/2024: Inspection is now M-F.

<p>-UPDATE 3/26/24&#58; RESCHEDULED TO WEEK OF 28 OCT 24.<br></p><p>-UPDATE 11/3/23&#58; Rescheduled to week of 02 DEC 24.<br></p><p>-UPDATE 3/3/23&#58; Rescheduled to 16 DEC 24; removed from TBD status.<br></p><p>​Added 11/25/22.<br></p>","[""RESCH""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","CVN 76","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SMART%20CASE/T-AO/T-AO208_ROBERT_F_KENNEDY?csf=1&web=1&e=aJ2H5e"
"54","10/28/2024","YD 249, YFNB 41, YRBM 35, MI (M-F)","GROTON, CT","YD 249, YFNB 41, YRBM 35, MI (M-F)","[""B&C""]","B&C MI","10/27/2024","10/31/2024",,"5","-UPDATE 9/25/24: Deleted ARDM 4.

-UPDATE: 8/14/24: Inspection now M-F.

-UPDATE 7/18/24: REMOVED YD 250.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"55","10/28/2024","SSN (MI) (Tu-F)","NEW LONDON, CT","South Dakota SSN 790 (MI) (Tu-F)","[""SUB""]","MI","10/28/2024","10/31/2024",,"4","ADDED 7/24/24.",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""RSG GROTON""]","SSN 790","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20790%20(MI)?csf=1&web=1&e=8V3V7n"
"56","11/4/2024","ROBERT F. KENNEDY T-AO 208, IT (Su/M-F)","SAN DIEGO, CA","ROBERT F. KENNEDY T-AO 208, IT (Su/M-F)","[""TRIAL""]","IT","11/2/2024","11/7/2024",,"6","-UPDATE 10/9/24: Rescheduled to week of 04 NOV 24.

<p>​Added 10/17/2023.<br></p>","[""RESCH""]","Herrmann, William Carl (Will) CAPT USN PRESINSURV VA BCH VA (USA)","Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","T-AO 208","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SMART%20CASE/T-AO/T-AO208_ROBERT_F_KENNEDY?csf=1&web=1&e=QikXvD"
"57","11/4/2024","T-ARS (4-7 NOV)","Guam","Salvor T-ARS 52 (4-7 NOV)","[""MSC""]","SMART","11/3/2024","11/6/2024",,"4","-UPDATE 9/11/24: Rescheduled to week of 04 NOV 24, location changed to Guam.

-UPDATE 8/1/24: Location changed to Pearl Harbor, HI.

<p>​ADDED 4/2/24.<br></p>","[""RESCH""]","Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-ARS 52",
"58","11/4/2024","APL 67, YC 1675, MI (Tu-Th)","YOKOSUKA, JAPAN","APL 67, YC 1675, MI (Tu-Th)","[""B&C""]","B&C MI","11/4/2024","11/6/2024",,"3","<p>​-UPDATE 4/24/24&#58; REMOVED YRBM 25.<br></p><p>-UPDATE 4/2/24&#58; ADDED YRBM 25.<br></p><p>ADDED 1/11/24.<br></p>",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"59","11/4/2024","ACU 5 - LCAC 62 ESLEP (AT) (Tu-F)","Camp Pendleton, CA","ACU 5 - LCAC 62 ESLEP (AT) (Tu-F)","[""B&C""]","ESLEP AT","11/4/2024","11/7/2024",,"4","Added 10/9/24.",,"Olson, Timothy M CDR USN PRESINSURV VA BCH VA (USA)",,,"[""NSWCPD""]",,
"60","11/4/2024","SSBN, MI (W-Sa)","BANGOR, WA","SSBN, MI (W-Sa)","[""SUB""]","MI","11/5/2024","11/8/2024",,"4","-UPDATE 11/6/24: Days changed to W-Sa.

<p>-UPDATE 2/29/24&#58; ADDED MONDAY DUE TO DAY ZERO.<br></p><p>​-UPDATE 2/7/24&#58; RESCHEDULED TO WEEK OF 04 NOV 24.<br></p><p>ADDED 1/2/24.<br></p>","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""NWRMC""]",,
